"TIV of arms exports from all, 1950-2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures are SIPRI Trend Indicator Values (TIVs) expressed in millions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures may not add up due to the conventions of rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A '0' indicates that the value of deliveries is less than 0.5m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For more information, see http://www.sipri.org/databases/armstransfers/sources-and-methods/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SIPRI Arms Transfers Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated: 05 December 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Total
East Germany (GDR),,,,,,,,,,,17,25,17,29,39,26,,,,,,,,,11,,12,27,15,35,35,43,3,,,,39,116,116,149,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,831
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,6
Egypt,,,,,,,9,6,4,4,,0,7,8,2,,13,3,26,15,39,,,,,16,,69,80,13,29,77,80,70,36,5,19,61,65,63,20,,13,22,15,9,5,5,,,,,,,,,,,,,,,,,7,22,,,938
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,,,,,,,0,,,,,,,,,,,,2
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,0,,,8
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,51,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,103
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
Finland,,,,,,,,,,,60,1,1,,,1,86,33,33,33,2,39,30,,63,63,,,63,63,,,20,,,,,,1,,,22,11,17,26,26,9,10,34,28,12,33,34,40,34,51,137,77,79,51,60,40,102,75,91,23,66,58,1833
FMLN (El Salvador)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1
France,8,67,43,315,354,428,825,673,789,792,909,940,974,1232,1417,1196,1646,1533,1483,1460,1692,2298,2602,2881,2096,2184,2004,2674,3295,3010,3842,3785,3826,3455,3002,4019,3022,1799,1956,2197,1712,1111,1185,929,851,971,1892,3230,3145,1854,1113,1457,1474,1441,2324,1842,1706,2410,2007,1929,897,1758,1035,1492,1697,2077,2278,2162,120704
Gabon,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,69,,69,,16,,,,,,,,,,,,7,7,214
Germany (FRG),,,,38,29,24,24,44,25,93,156,12,146,133,438,332,713,771,574,740,1434,1364,1377,226,1208,1446,1662,1862,1631,1431,1596,1940,1584,2297,2858,1283,1415,969,1388,1202,1816,2482,1437,1500,2800,1465,1950,939,1808,1857,1610,895,902,1660,1126,2068,2764,3310,2380,2521,2725,1351,847,738,1774,1769,2535,1653,85146
Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,25
Greece,,,,,,,,,,,,,,,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,15,10,18,,19,31,9,3,2,2,,6,22,13,23,,,,,,,,,,,30,210
Guatemala,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Hungary,,,,,,,,5,,,,,,,,,18,18,37,28,,,8,44,8,8,,,,,4,30,4,4,,,,,,,,,,21,,6,,24,,,,,34,,,82,,9,,,,,,41,,,,,429
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,5
India,,,,,,,,,,1,,,,,,,,,1,,,6,2,21,24,31,,,27,22,,,2,,,,,0,1,0,3,0,1,9,2,2,0,0,0,0,21,2,0,4,27,19,33,23,15,27,5,3,,14,36,42,42,56,525
Indonesia,,,,,,,,,,,,,,7,,,,,,,12,,,,,,,,9,,4,,,,,8,4,,,,,,,16,16,25,,8,,49,,16,49,,25,8,8,,1,,,8,,,,,94,102,469
Iran,,,,,,,,,,,,,3,,,,,28,,,23,6,106,6,129,81,,,,,0,0,0,0,1,1,1,1,1,1,0,1,1,1,0,1,2,0,0,0,0,0,3,9,1,2,75,,43,45,45,86,21,12,47,15,5,10,812
Iraq,,,,,,,,0,,,3,,,,,,,,,,,,,,,,,,,,28,,,,,,,,168,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219
Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,9,9,2,,,,,,,,,,,,,,,,,,,,,,,,15,30,29,26,26,25,1,25,26,13,,,,239
Israel,,,,,8,30,,4,,23,,,,,5,10,14,13,23,24,13,21,31,16,51,118,62,202,212,192,279,221,257,418,281,209,354,137,75,212,85,152,324,383,296,166,286,247,229,190,404,469,574,409,609,510,406,544,349,737,655,541,461,426,399,727,1433,1263,16792
